ID,OUTabstract,OUTtext,outMA,source,PDF,Publication Type,Authors,Authors Full Name,Title,Source Title,Conference Title,Abstract,"Times Cited, All Databases",year,DOI,UT (Unique WOS ID),studytype,design,datayear,protection type,MPAname,MPAage,Age,MPAcreation,MPAprotectionBroad,MPAprotection,FPAsize,MPAsize,Size,enforcement,country,climate,continent,ocean,ecosystem,subgroup,socioeco,taxon,species,target,predator,fishery,governance,stakeholder,mechanism,outcome,indicator,data origin,direction,quantitative,unit,error type,BeforeMPAvalue,BeforeMPA_samplesize,BeforeMPAerrorRaw,BeforeMPA_SD,BeforeControlvalue,BeforeControl_samplesize,BeforeControlerrorRaw,BeforeControlSD, AfterMPAvalue,AfterMPA_samplesize,AfterMPAerrorRaw,AfterMPA_SD,AfterControlvalue,AfterControl_samplesize,AfterControlerrorRaw,AfterControlSD,ei,vei,comment
51,in,out,out,WoS,yes,J,"Britton, Damon; Cornwall, Christopher E.; Revill, Andrew T.; Hurd, Catriona L.; Johnson, Craig R.","Britton, Damon; Cornwall, Christopher E.; Revill, Andrew T.; Hurd, Catriona L.; Johnson, Craig R.","Ocean acidification reverses the positive effects of seawater pH fluctuations on growth and photosynthesis of the habitat-forming kelp, Ecklonia radiata",SCIENTIFIC REPORTS,,"Ocean acidification (OA) is the reduction in seawater pH due to the absorption of human-released CO2 by the world's oceans. The average surface oceanic pH is predicted to decline by 0.4 units by 2100. However, kelp metabolically modifies seawater pH via photosynthesis and respiration in some temperate coastal systems, resulting in daily pH fluctuations of up to +/- 0.45 units. It is unknown how these fluctuations in pH influence the growth and physiology of the kelp, or how this might change with OA. In laboratory experiments that mimicked the most extreme pH fluctuations measured within beds of the canopy-forming kelp Ecklonia radiata in Tasmania, the growth and photosynthetic rates of juvenile E. radiata were greater under fluctuating pH (8.4 in the day, 7.8 at night) than in static pH treatments (8.4, 8.1, 7.8). However, pH fluctuations had no effect on growth rates and a negative effect on photosynthesis when the mean pH of each treatment was reduced by 0.3 units. Currently, pH fluctuations have a positive effect on E. radiata but this effect could be reversed in the future under OA, which is likely to impact the future ecological dynamics and productivity of habitats dominated by E. radiata.",53,2016,10.1038/srep26036,WOS:000376646200001,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,no error associated with the values
52,in,out,out,WoS,yes,J,"Camp, Emma F.; Smith, David J.; Evenhuis, Chris; Enochs, Ian; Manzello, Derek; Woodcock, Stephen; Suggett, David J.","Camp, Emma F.; Smith, David J.; Evenhuis, Chris; Enochs, Ian; Manzello, Derek; Woodcock, Stephen; Suggett, David J.",Acclimatization to high-variance habitats does not enhance physiological tolerance of two key Caribbean corals to future temperature and pH,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,,"Corals are acclimatized to populate dynamic habitats that neighbour coral reefs. Habitats such as seagrass beds exhibit broad diel changes in temperature and pH that routinely expose corals to conditions predicted for reefs over the next 50-100 years. However, whether such acclimatization effectively enhances physiological tolerance to, and hence provides refuge against, future climate scenarios remains unknown. Also, whether corals living in low-variance habitats can tolerate present-day high-variance conditions remains untested. We experimentally examined how pH and temperature predicted for the year 2100 affects the growth and physiology of two dominant Caribbean corals (Acropora palmata and Porites astreoides) native to habitats with intrinsically low (outer-reef terrace, LV) and/or high (neighbouring seagrass, HV) environmental variance. Under present-day temperature and pH, growth and metabolic rates (calcification, respiration and photosynthesis) were unchanged for HV versus LV populations. Superimposing future climate scenarios onto the HV and LV conditions did not result in any enhanced tolerance to colonies native to HV. Calcification rates were always lower for elevated temperature and/or reduced pH. Together, these results suggest that seagrass habitats may not serve as refugia against climate change if the magnitude of future temperature and pH changes is equivalent to neighbouring reef habitats.",33,2016,10.1098/rspb.2016.0442,WOS:000378318300013,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,"the experimental design doesn't match with our interest, no usable data or direction"
53,in,in,in,WoS,yes,J,"Kapsenberg, Lydia; Hofmann, Gretchen E.","Kapsenberg, Lydia; Hofmann, Gretchen E.","Ocean pH time-series and drivers of variability along the northern Channel Islands, California, USA",LIMNOLOGY AND OCEANOGRAPHY,,"Eastern boundary current systems (EBCSs) experience dynamic fluctuations in seawater pH due to coastal upwelling and primary production. The lack of high-resolution pH observations in EBCSs limits the ability to relate field pH exposures to performance of coastal marine species under future ocean change (acidification, warming). This 3-yr study describes spatio-temporal pH variability across the northern Channel Islands, along a persistent temperature gradient (1-4 degrees C) within the eastern boundary California Current System. pH and Conductivity, Temperature, Depth, and Oxygen sensors were deployed on island piers in eelgrass and kelp habitat and on a subtidal mooring. Due to event-scale primary production, the temperature gradient across the islands did not manifest in a pH gradient. We resolved spatial pH variability on diel (Delta pH(T) 0.05-0.2: photosynthesis), event-scale (Delta pH(T) < 0.1-0.2: upwelling, phytoplankton blooms, wind relaxation), and seasonal (Delta pH(T) 0.06: warming) time frames. In the kelp forest, summer mean pH(T) (8.01-8.02) and magnitude of diel pHT cycles (Delta pH(T) 0.12-0.10) were comparable year-to-year, despite 2.1 degrees C warming from 2012 to 2014. Compared to nearby mainland sites, the northern Channel Islands experienced few low pH events. The majority of pH(T) observations were > 7.9. The lowest pH observations (> 1 SD below mean pH(T)) occurred under either warm (respiration during warm nights) or cold (advection of upwelled water) temperatures. We emphasize the importance of incorporating site-specific environmental variability in studies of ocean change biology, particularly in the design of multistressor experiments.",54,2016,10.1002/lno.10264,WOS:000375748400011,field,CI,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States,subtropical,North America,North Pacific Ocean,seagrass,NA,ecological,seagrass,Zostera pacifica,NA,NA,NA,NA,NA,NA,NA,pH,text ,neutral,yes,pH unit,SD,,,,,,,,,8,12,0.06,0.06,8.05,12,0.05,0.05,-0.05,6.10E-03,
53,in,in,in,WoS,yes,J,"Kapsenberg, Lydia; Hofmann, Gretchen E.","Kapsenberg, Lydia; Hofmann, Gretchen E.","Ocean pH time-series and drivers of variability along the northern Channel Islands, California, USA",LIMNOLOGY AND OCEANOGRAPHY,,"Eastern boundary current systems (EBCSs) experience dynamic fluctuations in seawater pH due to coastal upwelling and primary production. The lack of high-resolution pH observations in EBCSs limits the ability to relate field pH exposures to performance of coastal marine species under future ocean change (acidification, warming). This 3-yr study describes spatio-temporal pH variability across the northern Channel Islands, along a persistent temperature gradient (1-4 degrees C) within the eastern boundary California Current System. pH and Conductivity, Temperature, Depth, and Oxygen sensors were deployed on island piers in eelgrass and kelp habitat and on a subtidal mooring. Due to event-scale primary production, the temperature gradient across the islands did not manifest in a pH gradient. We resolved spatial pH variability on diel (Delta pH(T) 0.05-0.2: photosynthesis), event-scale (Delta pH(T) < 0.1-0.2: upwelling, phytoplankton blooms, wind relaxation), and seasonal (Delta pH(T) 0.06: warming) time frames. In the kelp forest, summer mean pH(T) (8.01-8.02) and magnitude of diel pHT cycles (Delta pH(T) 0.12-0.10) were comparable year-to-year, despite 2.1 degrees C warming from 2012 to 2014. Compared to nearby mainland sites, the northern Channel Islands experienced few low pH events. The majority of pH(T) observations were > 7.9. The lowest pH observations (> 1 SD below mean pH(T)) occurred under either warm (respiration during warm nights) or cold (advection of upwelled water) temperatures. We emphasize the importance of incorporating site-specific environmental variability in studies of ocean change biology, particularly in the design of multistressor experiments.",54,2016,10.1002/lno.10264,WOS:000375748400011,field,CI,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States,subtropical,North America,North Pacific Ocean,macroalgae,NA,ecological,kelp,NA,NA,NA,NA,NA,NA,NA,NA,pH,text ,neutral,yes,pH unit,SD,,,,,,,,,8.01,12,0.04,0.04,8.05,12,0.05,0.05,-0.04,4.10E-03,
54,out,out,out,WoS,,J,"Abrams, Jesse F.; Hohn, Soenke; Rixen, Tim; Baum, Antje; Merico, Agostino","Abrams, Jesse F.; Hohn, Soenke; Rixen, Tim; Baum, Antje; Merico, Agostino",The impact of Indonesian peatland degradation on downstream marine ecosystems and the global carbon cycle,GLOBAL CHANGE BIOLOGY,,"Tropical peatlands are among the most space-efficient stores of carbon on Earth containing approximately 89Gt C. Of this, 57Gt (65%) are stored in Indonesian peatlands. Large-scale exploitation of land, including deforestation and drainage for the establishment of oil palm plantations, is changing the carbon balance of Indonesian peatlands, turning them from a natural sink to a source via outgassing of CO2 to the atmosphere and leakage of dissolved organic carbon (DOC) into the coastal ocean. The impacts of this perturbation to the coastal environment and at the global scale are largely unknown. Here, we evaluate the downstream effects of released Indonesian peat carbon on coastal ecosystems and on the global carbon cycle. We use a biogeochemical box model in combination with novel and literature observations to investigate the impact of different carbon emission scenarios on the combined ocean-atmosphere system. The release of all carbon stored in the Indonesian peat pool, considered as a worst-case scenario, will increase atmospheric pCO(2) by 8ppm to 15ppm within the next 200years. The expected impact on the Java Sea ecosystems is most significant on the short term (over a few hundred years) and is characterized by an increase of 3.3% in phytoplankton, 32% in seagrass biomass, and 5% decrease in coral biomass. On the long term, however, the coastal ecosystems will recover to reach near pre-excursion conditions. Our results suggest that the ultimate fate of the peat carbon is in the deep ocean with 69% of it landing in the deep DIC pool after 1000years, but the effects on the global ocean carbonate chemistry will be marginal.",19,2016,10.1111/gcb.13108,WOS:000367982900026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,in,in,in,WoS,yes,J,"Camp, Emma F.; Suggett, David J.; Gendron, Gilberte; Jompa, Jamaluddin; Manfrino, Carrie; Smith, David J.","Camp, Emma F.; Suggett, David J.; Gendron, Gilberte; Jompa, Jamaluddin; Manfrino, Carrie; Smith, David J.",Mangrove and Seagrass Beds Provide Different Biogeochemical Services for Corals Threatened by Climate Change,FRONTIERS IN MARINE SCIENCE,,"Rapidly rising atmospheric CO2 concentrations are driving acidification in parallel with warming of the oceans. Future ocean acidification scenarios have the potential to impact coral growth and associated reef function, although reports suggest such affects could be reduced in adjacent seagrass habitats as a result of physio-chemical buffering. To-date, it remains unknown whether these habitats can actually support the metabolic function of a diverse range of corals. Similarly, whether mangroves provide the same ecological buffering service remains unclear. We examine whether reef-associated habitat sites (seagrass and mangroves) can act as potential refugia to future climate change by maintaining favorable chemical conditions (elevated pH and aragonite saturation state relative to the open-ocean), but by also assessing whether the metabolic function (photosynthesis, respiration and calcification) of important reef-building corals are sustained. We investigated three sites in the Atlantic, Indian, and Pacific Oceans and consistently observed that seagrass beds experience an overall elevation in mean pH (8.15 +/- 0.01) relative to the adjacent outer-reef (8.12 +/- 0.03), but with periods of high and low pH. Corals in the seagrass habitats either sustained calcification or experienced an average reduction of 17.0 +/- 6.1% relative to the outer-reef. In contrast, mangrove habitats were characterized by a low mean pH (8.04 +/- 0.01) and a relatively moderate pH range. Corals within mangrove-dominated habitats were thus pre-conditioned to low pH but with significant suppression to calcification (70.0 +/- 7.3% reduction relative to the outer-reef). Both habitats also experienced more variable temperatures (diel range up to 2.5 degrees C) relative to the outer-reef (diel range less than 0.7 degrees C), which did not correspond with changes in calcification rates. Here we report, for the first time, the biological costs for corals living in reef-associated habitats and characterize the environmental services these habitats may play in potentially mitigating the local effects of future ocean acidification.",38,2016,10.3389/fmars.2016.00052,WOS:000457358000051,field,CI,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Seychelles,tropical,Africa,Indian Ocean,seagrass,NA,ecological,seagrass,Thalassia hemprichii,NA,NA,NA,NA,NA,NA,NA,pH,Tabe 1,neutral,yes,pH unit,SE,,,,,,,,,8.155,40,0.01,0.063245553,8.122,40,0.01,0.063245553,0.033,8.00E-03,control is the associated outer-reef
55,in,in,in,WoS,yes,J,"Camp, Emma F.; Suggett, David J.; Gendron, Gilberte; Jompa, Jamaluddin; Manfrino, Carrie; Smith, David J.","Camp, Emma F.; Suggett, David J.; Gendron, Gilberte; Jompa, Jamaluddin; Manfrino, Carrie; Smith, David J.",Mangrove and Seagrass Beds Provide Different Biogeochemical Services for Corals Threatened by Climate Change,FRONTIERS IN MARINE SCIENCE,,"Rapidly rising atmospheric CO2 concentrations are driving acidification in parallel with warming of the oceans. Future ocean acidification scenarios have the potential to impact coral growth and associated reef function, although reports suggest such affects could be reduced in adjacent seagrass habitats as a result of physio-chemical buffering. To-date, it remains unknown whether these habitats can actually support the metabolic function of a diverse range of corals. Similarly, whether mangroves provide the same ecological buffering service remains unclear. We examine whether reef-associated habitat sites (seagrass and mangroves) can act as potential refugia to future climate change by maintaining favorable chemical conditions (elevated pH and aragonite saturation state relative to the open-ocean), but by also assessing whether the metabolic function (photosynthesis, respiration and calcification) of important reef-building corals are sustained. We investigated three sites in the Atlantic, Indian, and Pacific Oceans and consistently observed that seagrass beds experience an overall elevation in mean pH (8.15 +/- 0.01) relative to the adjacent outer-reef (8.12 +/- 0.03), but with periods of high and low pH. Corals in the seagrass habitats either sustained calcification or experienced an average reduction of 17.0 +/- 6.1% relative to the outer-reef. In contrast, mangrove habitats were characterized by a low mean pH (8.04 +/- 0.01) and a relatively moderate pH range. Corals within mangrove-dominated habitats were thus pre-conditioned to low pH but with significant suppression to calcification (70.0 +/- 7.3% reduction relative to the outer-reef). Both habitats also experienced more variable temperatures (diel range up to 2.5 degrees C) relative to the outer-reef (diel range less than 0.7 degrees C), which did not correspond with changes in calcification rates. Here we report, for the first time, the biological costs for corals living in reef-associated habitats and characterize the environmental services these habitats may play in potentially mitigating the local effects of future ocean acidification.",38,2016,10.3389/fmars.2016.00052,WOS:000457358000051,field,CI,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Seychelles,tropical,Africa,Indian Ocean,mangrove,NA,ecological,mangrove,"Rhizophora mucronata, Lumnitzera racemose, Brugueira gymnorhiza, and Avicennia marina",NA,NA,NA,NA,NA,NA,NA,pH,Tabe 1,neutral,yes,pH unit,SE,,,,,,,,,8.004,40,0.01,0.063245553,8.122,40,0.01,0.063245553,-0.118,8.00E-03,control is the associated outer-reef
55,in,in,in,WoS,yes,J,"Camp, Emma F.; Suggett, David J.; Gendron, Gilberte; Jompa, Jamaluddin; Manfrino, Carrie; Smith, David J.","Camp, Emma F.; Suggett, David J.; Gendron, Gilberte; Jompa, Jamaluddin; Manfrino, Carrie; Smith, David J.",Mangrove and Seagrass Beds Provide Different Biogeochemical Services for Corals Threatened by Climate Change,FRONTIERS IN MARINE SCIENCE,,"Rapidly rising atmospheric CO2 concentrations are driving acidification in parallel with warming of the oceans. Future ocean acidification scenarios have the potential to impact coral growth and associated reef function, although reports suggest such affects could be reduced in adjacent seagrass habitats as a result of physio-chemical buffering. To-date, it remains unknown whether these habitats can actually support the metabolic function of a diverse range of corals. Similarly, whether mangroves provide the same ecological buffering service remains unclear. We examine whether reef-associated habitat sites (seagrass and mangroves) can act as potential refugia to future climate change by maintaining favorable chemical conditions (elevated pH and aragonite saturation state relative to the open-ocean), but by also assessing whether the metabolic function (photosynthesis, respiration and calcification) of important reef-building corals are sustained. We investigated three sites in the Atlantic, Indian, and Pacific Oceans and consistently observed that seagrass beds experience an overall elevation in mean pH (8.15 +/- 0.01) relative to the adjacent outer-reef (8.12 +/- 0.03), but with periods of high and low pH. Corals in the seagrass habitats either sustained calcification or experienced an average reduction of 17.0 +/- 6.1% relative to the outer-reef. In contrast, mangrove habitats were characterized by a low mean pH (8.04 +/- 0.01) and a relatively moderate pH range. Corals within mangrove-dominated habitats were thus pre-conditioned to low pH but with significant suppression to calcification (70.0 +/- 7.3% reduction relative to the outer-reef). Both habitats also experienced more variable temperatures (diel range up to 2.5 degrees C) relative to the outer-reef (diel range less than 0.7 degrees C), which did not correspond with changes in calcification rates. Here we report, for the first time, the biological costs for corals living in reef-associated habitats and characterize the environmental services these habitats may play in potentially mitigating the local effects of future ocean acidification.",38,2016,10.3389/fmars.2016.00052,WOS:000457358000051,field,CI,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Indonesia,tropical,Asia,Pacific Ocean,seagrass,NA,ecological,seagrass,Thalassia hemprichii,NA,NA,NA,NA,NA,NA,NA,pH,Tabe 1,neutral,yes,pH unit,SE,,,,,,,,,8.139,40,0.02,0.126491106,8.121,40,0.01,0.063245553,0.018,2.00E-02,control is the associated outer-reef
55,in,in,in,WoS,yes,J,"Camp, Emma F.; Suggett, David J.; Gendron, Gilberte; Jompa, Jamaluddin; Manfrino, Carrie; Smith, David J.","Camp, Emma F.; Suggett, David J.; Gendron, Gilberte; Jompa, Jamaluddin; Manfrino, Carrie; Smith, David J.",Mangrove and Seagrass Beds Provide Different Biogeochemical Services for Corals Threatened by Climate Change,FRONTIERS IN MARINE SCIENCE,,"Rapidly rising atmospheric CO2 concentrations are driving acidification in parallel with warming of the oceans. Future ocean acidification scenarios have the potential to impact coral growth and associated reef function, although reports suggest such affects could be reduced in adjacent seagrass habitats as a result of physio-chemical buffering. To-date, it remains unknown whether these habitats can actually support the metabolic function of a diverse range of corals. Similarly, whether mangroves provide the same ecological buffering service remains unclear. We examine whether reef-associated habitat sites (seagrass and mangroves) can act as potential refugia to future climate change by maintaining favorable chemical conditions (elevated pH and aragonite saturation state relative to the open-ocean), but by also assessing whether the metabolic function (photosynthesis, respiration and calcification) of important reef-building corals are sustained. We investigated three sites in the Atlantic, Indian, and Pacific Oceans and consistently observed that seagrass beds experience an overall elevation in mean pH (8.15 +/- 0.01) relative to the adjacent outer-reef (8.12 +/- 0.03), but with periods of high and low pH. Corals in the seagrass habitats either sustained calcification or experienced an average reduction of 17.0 +/- 6.1% relative to the outer-reef. In contrast, mangrove habitats were characterized by a low mean pH (8.04 +/- 0.01) and a relatively moderate pH range. Corals within mangrove-dominated habitats were thus pre-conditioned to low pH but with significant suppression to calcification (70.0 +/- 7.3% reduction relative to the outer-reef). Both habitats also experienced more variable temperatures (diel range up to 2.5 degrees C) relative to the outer-reef (diel range less than 0.7 degrees C), which did not correspond with changes in calcification rates. Here we report, for the first time, the biological costs for corals living in reef-associated habitats and characterize the environmental services these habitats may play in potentially mitigating the local effects of future ocean acidification.",38,2016,10.3389/fmars.2016.00052,WOS:000457358000051,field,CI,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Indonesia,tropical,Asia,Pacific Ocean,mangrove,NA,ecological,mangrove,Rhizophora stylosa,NA,NA,NA,NA,NA,NA,NA,pH,Tabe 1,neutral,yes,pH unit,SE,,,,,,,,,8.056,40,0.03,0.18973666,8.121,40,0.01,0.063245553,-0.065,4.00E-02,control is the associated outer-reef
55,in,in,in,WoS,yes,J,"Camp, Emma F.; Suggett, David J.; Gendron, Gilberte; Jompa, Jamaluddin; Manfrino, Carrie; Smith, David J.","Camp, Emma F.; Suggett, David J.; Gendron, Gilberte; Jompa, Jamaluddin; Manfrino, Carrie; Smith, David J.",Mangrove and Seagrass Beds Provide Different Biogeochemical Services for Corals Threatened by Climate Change,FRONTIERS IN MARINE SCIENCE,,"Rapidly rising atmospheric CO2 concentrations are driving acidification in parallel with warming of the oceans. Future ocean acidification scenarios have the potential to impact coral growth and associated reef function, although reports suggest such affects could be reduced in adjacent seagrass habitats as a result of physio-chemical buffering. To-date, it remains unknown whether these habitats can actually support the metabolic function of a diverse range of corals. Similarly, whether mangroves provide the same ecological buffering service remains unclear. We examine whether reef-associated habitat sites (seagrass and mangroves) can act as potential refugia to future climate change by maintaining favorable chemical conditions (elevated pH and aragonite saturation state relative to the open-ocean), but by also assessing whether the metabolic function (photosynthesis, respiration and calcification) of important reef-building corals are sustained. We investigated three sites in the Atlantic, Indian, and Pacific Oceans and consistently observed that seagrass beds experience an overall elevation in mean pH (8.15 +/- 0.01) relative to the adjacent outer-reef (8.12 +/- 0.03), but with periods of high and low pH. Corals in the seagrass habitats either sustained calcification or experienced an average reduction of 17.0 +/- 6.1% relative to the outer-reef. In contrast, mangrove habitats were characterized by a low mean pH (8.04 +/- 0.01) and a relatively moderate pH range. Corals within mangrove-dominated habitats were thus pre-conditioned to low pH but with significant suppression to calcification (70.0 +/- 7.3% reduction relative to the outer-reef). Both habitats also experienced more variable temperatures (diel range up to 2.5 degrees C) relative to the outer-reef (diel range less than 0.7 degrees C), which did not correspond with changes in calcification rates. Here we report, for the first time, the biological costs for corals living in reef-associated habitats and characterize the environmental services these habitats may play in potentially mitigating the local effects of future ocean acidification.",38,2016,10.3389/fmars.2016.00052,WOS:000457358000051,field,CI,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cayman Islands,tropical,America,Atlantic Ocean,seagrass,NA,ecological,seagrass,"Thalassia testudinum, Syringodium filiforme",NA,NA,NA,NA,NA,NA,NA,pH,Tabe 1,neutral,yes,pH unit,SE,,,,,,,,,8.14,40,0.02,0.126491106,8.123,40,0.01,0.063245553,0.017,2.00E-02,control is the associated outer-reef
56,in,out,out,WoS,yes,J,"Challener, Roberta C.; Robbins, Lisa L.; McClintock, James B.","Challener, Roberta C.; Robbins, Lisa L.; McClintock, James B.","Variability of the carbonate chemistry in a shallow, seagrass-dominated ecosystem: implications for ocean acidification experiments",MARINE AND FRESHWATER RESEARCH,,"Open ocean observations have shown that increasing levels of anthropogenically derived atmospheric CO2 are causing acidification of the world's oceans. Yet little is known about coastal acidification and studies are just beginning to characterise the carbonate chemistry of shallow, nearshore zones where many ecologically and economically important organisms occur. We characterised the carbonate chemistry of seawater within an area dominated by seagrass beds (Saint Joseph Bay, Florida) to determine the extent of variation in pH and pCO(2) over monthly and daily timescales. Distinct diel and seasonal fluctuations were observed at daily and monthly timescales respectively, indicating the influence of photosynthetic and respiratory processes on the local carbonate chemistry. Over the course of a year, the range in monthly values of pH (7.36-8.28), aragonite saturation state (0.65-5.63), and calculated pCO(2) (195-2537 mu atm) were significant. When sampled on a daily basis the range in pH (7.70-8.06), aragonite saturation state (1.86-3.85), and calculated pCO(2) (379-1019 mu atm) also exhibited significant range and indicated variation between timescales. The results of this study have significant implications for the design of ocean acidification experiments where nearshore species are utilised and indicate that coastal species are experiencing far greater fluctuations in carbonate chemistry than previously thought.",34,2016,10.1071/MF14219,WOS:000369301100001,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,no control used
57,in,out,out,WoS,yes,J,"Roleda, Michael Y.; Cornwall, Christopher E.; Feng, Yuanyuan; McGraw, Christina M.; Smith, Abigail M.; Hurd, Catriona L.","Roleda, Michael Y.; Cornwall, Christopher E.; Feng, Yuanyuan; McGraw, Christina M.; Smith, Abigail M.; Hurd, Catriona L.","Effect of Ocean Acidification and pH Fluctuations on the Growth and Development of Coralline Algal Recruits, and an Associated Benthic Algal Assemblage",PLOS ONE,,"Coralline algae are susceptible to the changes in the seawater carbonate system associated with ocean acidification (OA). However, the coastal environments in which corallines grow are subject to large daily pH fluctuations which may affect their responses to OA. Here, we followed the growth and development of the juvenile coralline alga Arthrocardia corymbosa, which had recruited into experimental conditions during a prior experiment, using a novel OA laboratory culture system to simulate the pH fluctuations observed within a kelp forest. Microscopic life history stages are considered more susceptible to environmental stress than adult stages; we compared the responses of newly recruited A. corymbosa to static and fluctuating seawater pH with those of their field-collected parents. Recruits were cultivated for 16 weeks under static pH 8.05 and 7.65, representing ambient and 4x preindustrial pCO(2) concentrations, respectively, and two fluctuating pH treatments of daily (X) over tilde = 8.05 (daytime pH = 8.45, night-time pH = 7.65) and daily (X) over tilde = 7.65 (daytime pH = 8.05, night-time pH = 7.25). Positive growth rates of new recruits were recorded in all treatments, and were highest under static pH 8.05 and lowest under fluctuating pH 7.65. This pattern was similar to the adults' response, except that adults had zero growth under fluctuating pH 7.65. The % dry weight of MgCO3 in calcite of the juveniles was reduced from 10% at pH 8.05 to 8% at pH 7.65, but there was no effect of pH fluctuation. A wide range of fleshy macroalgae and at least 6 species of benthic diatoms recruited across all experimental treatments, from cryptic spores associated with the adult A. corymbosa. There was no effect of experimental treatment on the growth of the benthic diatoms. On the community level, pH-sensitive species may survive lower pH in the presence of diatoms and fleshy macroalgae, whose high metabolic activity may raise the pH of the local microhabitat.",40,2015,10.1371/journal.pone.0140394,WOS:000363184600057,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,"the experimental design doesn't match with our interest, no usable data or direction"
58,out,out,out,WoS,yes,J,"Pettit, Laura R.; Smart, Christopher W.; Hart, Malcolm B.; Milazzo, Marco; Hall-Spencer, Jason M.","Pettit, Laura R.; Smart, Christopher W.; Hart, Malcolm B.; Milazzo, Marco; Hall-Spencer, Jason M.",Seaweed fails to prevent ocean acidification impact on foraminifera along a shallow-water CO2 gradient,ECOLOGY AND EVOLUTION,,"Ocean acidification causes biodiversity loss, alters ecosystems, and may impact food security, as shells of small organisms dissolve easily in corrosive waters. There is a suggestion that photosynthetic organisms could mitigate ocean acidification on a local scale, through seagrass protection or seaweed cultivation, as net ecosystem organic production raises the saturation state of calcium carbonate making seawater less corrosive. Here, we used a natural gradient in calcium carbonate saturation, caused by shallow-water CO2 seeps in the Mediterranean Sea, to assess whether seaweed that is resistant to acidification (Padina pavonica) could prevent adverse effects of acidification on epiphytic foraminifera. We found a reduction in the number of species of foraminifera as calcium carbonate saturation state fell and that the assemblage shifted from one dominated by calcareous species at reference sites (pH similar to 8.19) to one dominated by agglutinated foraminifera at elevated levels of CO2 (pH similar to 7.71). It is expected that ocean acidification will result in changes in foraminiferal assemblage composition and agglutinated forms may become more prevalent. Although Padina did not prevent adverse effects of ocean acidification, high biomass stands of seagrass or seaweed farms might be more successful in protecting epiphytic foraminifera.",24,2015,10.1002/ece3.1475,WOS:000354209800003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,out,out,out,WoS,yes,J,"Challener, R. C.; Robbins, L. L.; Mcclintock, J. B.","Challener, R. C.; Robbins, L. L.; Mcclintock, J. B.","Carbonate chemistry in a shallow, seagrass-dominated ecosystem: implications for the sea urchin Lytechinus variegatus",INTEGRATIVE AND COMPARATIVE BIOLOGY,,,0,2015,,WOS:000352658401208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
